Week,Date,Topic,Assigned,Due,Reading
"1","Jan 12 Mon","Introduction","","",""
"","Jan 14 Wed","","","","1"
"2","Jan 19 Mon","MLK Day","","",""
"","Jan 21 Wed","","","",""
"3","Jan 26 Mon","","HW1","",""
"","Jan 28 Wed","","","",""
"4","Feb 02 Mon","A Case Study: Designing a Document Editor","","","2ff"
"","Feb 04 Wed","","","",""
"5","Feb 09 Mon","","","",""
"","Feb 11 Wed","","","",""
"6","Feb 16 Mon","Presidents' Day","","",""
"","Feb 18 Wed","","","",""
"7","Feb 23 Mon","","","",""
"","Feb 25 Wed","","","",""
"8","Mar 02 Mon","","HW2","HW1",""
"","Mar 04 Wed","","","",""
"9","Mar 09 Mon","","","",""
"","Mar 11 Wed","Exam","","",""
"10","Mar 16 Mon","Spring Break","","",""
"","Mar 18 Wed","Spring Break","","",""
"11","Mar 23 Mon","","HW3","HW2",""
"","Mar 25 Wed","","","",""
"12","Mar 30 Mon","","","",""
"","Apr 01 Wed","","HW4","",""
"13","Apr 06 Mon","","","HW3",""
"","Apr 08 Wed","","","",""
"14","Apr 13 Mon","","HW5,HWG","HW4",""
"","Apr 15 Wed","","","",""
"15","Apr 20 Mon","","HW6","HW5",""
"","Apr 22 Wed","","","",""
"16","Apr 27 Mon","","","HWG",""
"","Apr 29 Wed","","","HW6",""
"17","May 04 Mon","Final: 10:00","","",""
